t_sec,phase,step_idx,v_x_cmd_NED_x,odom_frame,z_ENU,vz_ENU_meas,vx_ENU_meas,vx_from_odom_NED_x,vx_NED_meas,alt_min,alt_max,armed,offboard
1762884574.895300,STEP,0,0.500000,odom,1.496359,0.000000,0.000000,0.000000,-0.001586,0.500,5.000,1,1
1762884574.915357,STEP,0,0.500000,odom,1.496402,0.000711,-0.011805,0.002931,0.000309,0.500,5.000,1,1
1762884574.937126,STEP,0,0.500000,odom,1.496402,0.000498,-0.008264,0.002051,0.000309,0.500,5.000,1,1
1762884574.955399,STEP,0,0.500000,odom,1.496402,0.000000,0.000000,0.000000,0.000309,0.500,5.000,1,1
1762884574.975896,STEP,0,0.500000,odom,1.496402,0.000000,0.000000,0.000000,0.000309,0.500,5.000,1,1
1762884574.995317,STEP,0,0.500000,odom,1.496402,0.000000,0.000000,0.000000,0.000309,0.500,5.000,1,1
1762884575.015480,STEP,0,0.500000,odom,1.496402,0.000000,0.000000,0.000000,0.000309,0.500,5.000,1,1
1762884575.035383,STEP,0,0.500000,odom,1.496402,0.000000,0.000000,0.000000,0.000309,0.500,5.000,1,1
1762884575.055369,STEP,0,0.500000,odom,1.496402,0.000000,0.000000,0.000000,0.000309,0.500,5.000,1,1
1762884575.075113,STEP,0,0.500000,odom,1.496402,0.000000,0.000000,0.000000,0.003910,0.500,5.000,1,1
1762884575.095242,STEP,0,0.500000,odom,1.496497,0.001645,-0.012713,0.005861,0.008861,0.500,5.000,1,1
1762884575.115326,STEP,0,0.500000,odom,1.496497,0.001152,-0.008899,0.004103,0.008861,0.500,5.000,1,1
1762884575.135465,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.008861,0.500,5.000,1,1
1762884575.155349,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.008861,0.500,5.000,1,1
1762884575.175459,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.008861,0.500,5.000,1,1
1762884575.196285,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.008861,0.500,5.000,1,1
1762884575.215320,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.008861,0.500,5.000,1,1
1762884575.235468,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.008861,0.500,5.000,1,1
1762884575.257168,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.008861,0.500,5.000,1,1
1762884575.275199,STEP,0,0.500000,odom,1.496497,0.000000,0.000000,0.000000,0.015383,0.500,5.000,1,1
1762884575.295387,STEP,0,0.500000,odom,1.496681,0.004083,-0.017479,0.012954,0.015383,0.500,5.000,1,1
1762884575.315520,STEP,0,0.500000,odom,1.496681,0.000000,0.000000,0.000000,0.015383,0.500,5.000,1,1
1762884575.338058,STEP,0,0.500000,odom,1.496681,0.000000,0.000000,0.000000,0.015383,0.500,5.000,1,1
1762884575.355297,STEP,0,0.500000,odom,1.496681,0.000000,0.000000,0.000000,0.015383,0.500,5.000,1,1
1762884575.375348,STEP,0,0.500000,odom,1.496681,0.000000,0.000000,0.000000,0.015383,0.500,5.000,1,1
1762884575.395524,STEP,0,0.500000,odom,1.496681,0.000000,0.000000,0.000000,0.015383,0.500,5.000,1,1
