t_sec,phase,step_idx,v_z_cmd_ENU,v_z_cmd_NED_z,odom_frame,z_ENU,vz_ENU_meas,vz_NED_meas,alt_min,alt_max,armed,offboard
1761725768.324411,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.083131,0.500,5.000,1,1
1761725768.344353,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.083131,0.500,5.000,1,1
1761725768.366629,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.083131,0.500,5.000,1,1
1761725768.384572,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.083131,0.500,5.000,1,1
1761725768.404554,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.083131,0.500,5.000,1,1
1761725768.424295,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.083131,0.500,5.000,1,1
1761725768.444243,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.160752,0.500,5.000,1,1
1761725768.465524,STEP,0,0.500000,-0.500000,odom,1.497298,0.000000,-0.175507,0.500,5.000,1,1
1761725768.484578,STEP,0,0.500000,-0.500000,odom,1.503324,0.150649,-0.175507,0.500,5.000,1,1
1761725768.504306,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.175507,0.500,5.000,1,1
1761725768.524394,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.175507,0.500,5.000,1,1
1761725768.544364,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.175507,0.500,5.000,1,1
1761725768.564425,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.175507,0.500,5.000,1,1
1761725768.584299,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.175507,0.500,5.000,1,1
1761725768.604339,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.175507,0.500,5.000,1,1
1761725768.624668,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.175507,0.500,5.000,1,1
1761725768.645400,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.203628,0.500,5.000,1,1
1761725768.664305,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.216610,0.500,5.000,1,1
1761725768.684321,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.216610,0.500,5.000,1,1
1761725768.704356,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.240512,0.500,5.000,1,1
1761725768.724316,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.240512,0.500,5.000,1,1
1761725768.745969,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.240512,0.500,5.000,1,1
1761725768.764390,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.240512,0.500,5.000,1,1
1761725768.784312,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.240512,0.500,5.000,1,1
1761725768.804513,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.240512,0.500,5.000,1,1
1761725768.824358,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.240512,0.500,5.000,1,1
1761725768.845629,STEP,0,0.500000,-0.500000,odom,1.503324,0.000000,-0.251464,0.500,5.000,1,1
1761725768.864334,STEP,0,0.500000,-0.500000,odom,1.511571,0.309237,-0.261855,0.500,5.000,1,1
1761725768.884444,STEP,0,0.500000,-0.500000,odom,1.511571,0.216466,-0.271764,0.500,5.000,1,1
1761725768.904655,STEP,0,0.500000,-0.500000,odom,1.511571,0.151526,-0.271764,0.500,5.000,1,1
1761725768.924393,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725768.944401,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725768.964554,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725768.985425,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725769.005706,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725769.024739,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725769.045694,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725769.064345,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725769.084361,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725769.104356,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.271764,0.500,5.000,1,1
1761725769.124321,STEP,0,0.500000,-0.500000,odom,1.511571,0.000000,-0.281280,0.500,5.000,1,1
1761725769.144331,STEP,0,0.500000,-0.500000,odom,1.521580,0.375313,-0.298911,0.500,5.000,1,1
1761725769.164454,STEP,0,0.500000,-0.500000,odom,1.521580,0.262719,-0.307216,0.500,5.000,1,1
1761725769.184479,STEP,0,0.500000,-0.500000,odom,1.521580,0.183903,-0.307216,0.500,5.000,1,1
